" Muon p_{Z} (GeV)",1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,7,8,9,10,15
" Muon p_{T} (GeV)",0,0.075,0.15,0.25,0.325,0.4,0.475,0.55,0.7,0.85,1,1.25,1.5,2.5
