 vert 50
BeamAngleX_0, 1.00024184723644760e+00,1.00032975016816317e+00,1.00023401986302374e+00,1.00005627212535741e+00,1.00061473587890393e+00,1.00060593894062677e+00,1.00034995628939605e+00,1.00027267291518496e+00,1.00028753586562558e+00,1.00019394763016556e+00,1.00005622686600071e+00,1.00023825092068863e+00,1.00005019737256751e+00,1.00018312881688298e+00
BeamAngleX_1, 1.00122774673071291e+00,9.99598038266360511e-01,9.99572483047675653e-01,9.99546070532647546e-01,9.99482460814626439e-01,9.99438509934256314e-01,9.99326815272296942e-01,9.99425383571363013e-01,9.99701968929837981e-01,9.99960468656603707e-01,9.99835605029538055e-01,9.99658004106661169e-01,9.99393514459412380e-01,1.00028291921762125e+00
BeamAngleY_0, 9.98770144458284270e-01,1.00037086787468343e+00,1.00002852550653532e+00,1.00070338778173218e+00,1.00089635340628091e+00,1.00053345121391057e+00,1.00040237209257143e+00,1.00012624991500298e+00,1.00017926395061330e+00,1.00026250183237808e+00,9.99956546564229720e-01,1.00056830213286574e+00,1.00022470279893638e+00,1.00023825028568680e+00
BeamAngleY_1, 1.00174894162437544e+00,1.00010660466761991e+00,9.99408724386065539e-01,9.99546836340108436e-01,9.99866413705678081e-01,9.99437753723038780e-01,9.99386594939607797e-01,9.99716270543037910e-01,9.99975224879996460e-01,9.99858211715802914e-01,9.99629124931832092e-01,9.99428199354629565e-01,9.99403190118330675e-01,1.00014829124573090e+00
Flux_0, 1.07249584609388338e+00,1.07876909058985393e+00,1.08265356516819322e+00,1.08504441182662337e+00,1.08683282295761763e+00,1.08765827643730773e+00,1.08931737721237853e+00,1.08436324923447636e+00,1.08107133191954796e+00,1.08019138197207498e+00,1.08218472920784170e+00,1.07137887572306290e+00,1.06136859552041263e+00,1.06875249001015704e+00
Flux_1, 9.80058151767664310e-01,9.86897614729351780e-01,9.91257418077992059e-01,9.92188583066602292e-01,9.93154689178729733e-01,9.93402889187971150e-01,9.91889886278056854e-01,9.89388908029420588e-01,9.87677669574527739e-01,9.88071078821645021e-01,9.91590687838193929e-01,9.87194564528534269e-01,9.82204614511086538e-01,9.93754694289229801e-01
Flux_2, 1.00676935516587496e+00,1.01307811857885777e+00,1.01710385766187583e+00,1.01852392316455287e+00,1.01887330723266678e+00,1.01939286509389659e+00,1.01835129521890444e+00,1.01418359625318688e+00,1.01264973423617932e+00,1.01443545310447703e+00,1.01774769125733355e+00,1.01067859627882650e+00,1.01299387344326441e+00,1.02262716756124883e+00
Flux_3, 1.01636359694226863e+00,1.02438154135026682e+00,1.02737792941401951e+00,1.02667354925607124e+00,1.02812613627348681e+00,1.02771500499037316e+00,1.02788618432743561e+00,1.02822444263902968e+00,1.02644679816526119e+00,1.02548518158072000e+00,1.02621932002971894e+00,1.02646417919446131e+00,1.01726768800287060e+00,1.02228205421603868e+00
Flux_4, 1.16571703927602810e+00,1.17170864975424882e+00,1.17582765523233101e+00,1.17784585471492820e+00,1.17886822220173770e+00,1.18076149502037175e+00,1.18214907567988292e+00,1.17623025801675740e+00,1.17632020646047475e+00,1.17827786147173530e+00,1.17398346549618560e+00,1.16623188742124761e+00,1.18545875747434382e+00,1.17936115446981149e+00
Flux_5, 9.66246763363119321e-01,9.72417066145584208e-01,9.77278435140226720e-01,9.79161130441135397e-01,9.79859409689791905e-01,9.80700651728608874e-01,9.80400726534274125e-01,9.79067684953321082e-01,9.79388142538811457e-01,9.78398051938787039e-01,9.76636504977617337e-01,9.78964860477613108e-01,9.71589457113341992e-01,9.77595371448956141e-01
Flux_6, 1.01598229911782645e+00,1.02306477845434740e+00,1.02723727762136230e+00,1.02851602931558084e+00,1.02919432446620407e+00,1.02964834009137185e+00,1.02898145665206142e+00,1.02597851701174037e+00,1.02310388928854956e+00,1.02476341850929464e+00,1.02695896143533116e+00,1.02090344484056716e+00,1.01669172237677663e+00,1.02527044462228267e+00
Flux_7, 1.04782988262771748e+00,1.05312917234514747e+00,1.05758451389377428e+00,1.05969571780620408e+00,1.06138810054535249e+00,1.06188845509125462e+00,1.06043133544365209e+00,1.05629986208935134e+00,1.05474469307331487e+00,1.05269522097812018e+00,1.05821081071261336e+00,1.05092836688754421e+00,1.03840543019722764e+00,1.05290892622379828e+00
Flux_8, 9.02241506173237839e-01,9.07890091023540236e-01,9.11787182754197678e-01,9.12797830652282038e-01,9.13410153435286754e-01,9.14511196505494950e-01,9.11638765900076975e-01,9.11290411200620598e-01,9.09935351321877306e-01,9.10621894081946714e-01,9.09091337223212892e-01,9.12044212021294265e-01,9.19601769566406713e-01,9.15580464182859211e-01
Flux_9, 1.04335837615735638e+00,1.05083983731617514e+00,1.05408931012970508e+00,1.05479013297857405e+00,1.05569968473936471e+00,1.05597183185917132e+00,1.05713578211471759e+00,1.05701629990759116e+00,1.05353131344584128e+00,1.05298080511036374e+00,1.05501962609868083e+00,1.05157856681079309e+00,1.04137389482981213e+00,1.04400298361545762e+00
Flux_10, 9.24855736651806648e-01,9.30840794249621073e-01,9.35098989226811117e-01,9.36055321615633651e-01,9.37423659896392869e-01,9.37294376559582032e-01,9.35902419985120915e-01,9.35942717569000715e-01,9.33853809206853125e-01,9.32925884683661000e-01,9.35955594384603184e-01,9.34139703855732417e-01,9.17776089985521404e-01,9.29547451923400825e-01
Flux_11, 1.01177339286561652e+00,1.01955863962575721e+00,1.02395330778331561e+00,1.02480488655530588e+00,1.02609308291347356e+00,1.02472034412586388e+00,1.02499149573742310e+00,1.02234129131533336e+00,1.01726615985041002e+00,1.01767552488171531e+00,1.02662769696825174e+00,1.01800879292348245e+00,1.00382054828528267e+00,1.02345261868882775e+00
Flux_12, 8.62915824345582227e-01,8.69298450554450097e-01,8.72287018433427708e-01,8.72874224610705962e-01,8.72830751353989132e-01,8.72880750366764269e-01,8.73527105845473995e-01,8.72546854589230092e-01,8.68888584679948339e-01,8.70912837225283121e-01,8.71203147867439132e-01,8.69950539744899887e-01,8.75405501857409951e-01,8.75572037425604410e-01
Flux_13, 1.19349140246814689e+00,1.20055146768418664e+00,1.20394027618303401e+00,1.20562710427767361e+00,1.20678852563318295e+00,1.20721034655261983e+00,1.21043073328133821e+00,1.20649406459384689e+00,1.20171870814468074e+00,1.20300302251757740e+00,1.20383496993538786e+00,1.19550524236964617e+00,1.19385578689346783e+00,1.19229381756119457e+00
Flux_14, 1.13566802309763371e+00,1.14316737748982877e+00,1.14662928152637922e+00,1.14760885335340967e+00,1.14869118278692417e+00,1.14874119327686697e+00,1.14958508458443465e+00,1.14457108125782847e+00,1.14468525016813394e+00,1.14454608641307232e+00,1.14299431056852629e+00,1.13999142469373527e+00,1.14384071201202886e+00,1.14854581213863050e+00
Flux_15, 1.12062900836379042e+00,1.12885698213865182e+00,1.13273736756346799e+00,1.13361866765740582e+00,1.13495513310945362e+00,1.13462285564732723e+00,1.13637696425723655e+00,1.13480024070757213e+00,1.13001645253560090e+00,1.13028372791599607e+00,1.13812675681305997e+00,1.12698069019279612e+00,1.09764267980115138e+00,1.12021222140543442e+00
Flux_16, 9.94642898543929843e-01,1.00245445117324716e+00,1.00608325835842893e+00,1.00706875196151180e+00,1.00749570406700339e+00,1.00830014258571565e+00,1.00942224473558029e+00,1.00640054777914090e+00,1.00282810446484971e+00,1.00392496845889689e+00,1.00550978896980947e+00,9.97108304754030894e-01,1.00117241341185093e+00,1.00239007230993571e+00
Flux_17, 1.02643923316153507e+00,1.03210976257745179e+00,1.03579406912788952e+00,1.03751367498411895e+00,1.03861908813803372e+00,1.04010361747570079e+00,1.04054948888665932e+00,1.03667519287511944e+00,1.03337465540859585e+00,1.03257633024608086e+00,1.03792292551205145e+00,1.03025673212780733e+00,1.01520987236656679e+00,1.02730027323860273e+00
Flux_18, 1.00794270543805231e+00,1.01428712908934893e+00,1.01822801820712017e+00,1.01979333199818223e+00,1.02015116766378666e+00,1.02124565017986613e+00,1.02039466624299280e+00,1.01872637194146121e+00,1.01692786888963993e+00,1.01726870723090101e+00,1.01599069426993327e+00,1.01456492295851430e+00,1.02070828202677966e+00,1.01661924649632907e+00
Flux_19, 9.95940095572129702e-01,1.00246248991945763e+00,1.00614560872025383e+00,1.00752232348195614e+00,1.00808621847256519e+00,1.00881190113429353e+00,1.00933024591369058e+00,1.00765069128532159e+00,1.00406410466196561e+00,1.00560277083210847e+00,1.00352505066410247e+00,1.00400145231146798e+00,1.01163199184014618e+00,1.00193356488522389e+00
Flux_20, 1.07350469182695996e+00,1.08058895427116997e+00,1.08529728009647197e+00,1.08672463506497174e+00,1.08742151979210355e+00,1.08727419079116050e+00,1.08593909239561182e+00,1.08283691353292610e+00,1.07923399659571784e+00,1.08048772033316354e+00,1.08507545642195535e+00,1.08105871925233221e+00,1.07649484350810742e+00,1.08874457518779444e+00
Flux_21, 1.06455351397399745e+00,1.07091144940214056e+00,1.07431938781889147e+00,1.07582862421611214e+00,1.07646024305130550e+00,1.07677452741256152e+00,1.07856022205699897e+00,1.07506947810154618e+00,1.07001037329479054e+00,1.07126973305133033e+00,1.07154749584785325e+00,1.07091917924055902e+00,1.05784898299519869e+00,1.06266822389123838e+00
Flux_22, 1.02220367711627325e+00,1.02947322209463299e+00,1.03191277309298290e+00,1.03274140806340542e+00,1.03287913445726987e+00,1.03386635823002848e+00,1.03651407011301688e+00,1.03501025310562622e+00,1.03246689712203299e+00,1.03315227422220990e+00,1.02888567641310558e+00,1.03166264522979523e+00,1.03777057747600177e+00,1.02470479141059156e+00
Flux_23, 9.52211497336511670e-01,9.59197037248434858e-01,9.61830126160160281e-01,9.62330792482272490e-01,9.62807211036221910e-01,9.63616183706351936e-01,9.64051187393218156e-01,9.65824437234527600e-01,9.64062543609235045e-01,9.60843844398591718e-01,9.56768191271553547e-01,9.66189237731835959e-01,9.78730844688662782e-01,9.53644935097879398e-01
Flux_24, 1.08411293611784876e+00,1.09127531938766076e+00,1.09540844129891002e+00,1.09746342814257059e+00,1.09878756550694145e+00,1.10079658621478105e+00,1.10156060687852442e+00,1.09679520130027597e+00,1.09541019099801207e+00,1.09473252280410671e+00,1.09651966261178413e+00,1.08373628662001353e+00,1.08364283077321422e+00,1.08284330081115465e+00
Flux_25, 9.47251263179697656e-01,9.54164983155981639e-01,9.56982737195846811e-01,9.57718591993346524e-01,9.57832329602172461e-01,9.58081066387170277e-01,9.60150743346343871e-01,9.55751342907473767e-01,9.54253686311400506e-01,9.55459199928779479e-01,9.55550305171549264e-01,9.55144918111192953e-01,9.42838063856204611e-01,9.57585326341812815e-01
Flux_26, 1.00546307011698732e+00,1.01163105590344249e+00,1.01500965222724449e+00,1.01620862038350634e+00,1.01789319026262914e+00,1.01807989392259346e+00,1.01972879600942701e+00,1.01718891224790142e+00,1.01530783448784034e+00,1.01396441935174519e+00,1.01370359571688384e+00,1.00687029409482109e+00,1.00994293144962310e+00,1.01243519106471247e+00
Flux_27, 9.70121922370587919e-01,9.75944311966362554e-01,9.79637169956425469e-01,9.80517711459959362e-01,9.80912658288166317e-01,9.81430722076484852e-01,9.80641925948627535e-01,9.81104960912853041e-01,9.81720689801801827e-01,9.81079399789992923e-01,9.73927858987100881e-01,9.80620585427096958e-01,1.00683289390328756e+00,9.84454101306148077e-01
Flux_28, 9.72981469054154613e-01,9.79252180822075435e-01,9.83436658125802277e-01,9.85168256380225316e-01,9.85793252931668307e-01,9.86289236877670006e-01,9.86123285729007981e-01,9.86310517379629159e-01,9.83595774121188149e-01,9.83153474594974153e-01,9.82089406918700503e-01,9.82504211490629720e-01,9.86569737057812701e-01,9.82153100737069518e-01
Flux_29, 8.65957874284805196e-01,8.72230232639014780e-01,8.75724020716222462e-01,8.76637753212370252e-01,8.76672397402833314e-01,8.75888663295407710e-01,8.75711018899550275e-01,8.73882983710231431e-01,8.68564126748925136e-01,8.71854019251418921e-01,8.75914743548013575e-01,8.71327820013072740e-01,8.64261354279190930e-01,8.74914637706857845e-01
Flux_30, 9.50113321567981672e-01,9.56551690926115250e-01,9.60867215586782009e-01,9.61588224741767084e-01,9.62706143314255414e-01,9.61685924493576483e-01,9.60279054130067533e-01,9.61057931128738385e-01,9.57465208588279992e-01,9.57042972421306870e-01,9.60406038782819382e-01,9.59314931774886137e-01,9.51351956511645835e-01,9.60066540263013857e-01
Flux_31, 9.20826650672558977e-01,9.26392779224742502e-01,9.29307461579586325e-01,9.29879758557716096e-01,9.30291517318025618e-01,9.29593975398421923e-01,9.29996920385871340e-01,9.26953174103118616e-01,9.22628672987657383e-01,9.24863025299397346e-01,9.28943468446090770e-01,9.24380435764926234e-01,9.15413793096363171e-01,9.26800138187652611e-01
Flux_32, 9.93462375505990702e-01,9.99935755007374527e-01,1.00391685876946957e+00,1.00592629916082998e+00,1.00594451307187716e+00,1.00573457753722240e+00,1.00766622810251616e+00,1.00703372739696739e+00,1.00558297045841072e+00,1.00359676772610706e+00,1.00369304111933655e+00,1.00529721669539973e+00,1.00762705268685715e+00,9.99573518101025460e-01
Flux_33, 9.73546135855065553e-01,9.80201598218916947e-01,9.83620146466295253e-01,9.84994553556695296e-01,9.84640553477674763e-01,9.85250229046233161e-01,9.84976507261490219e-01,9.82037078238949590e-01,9.80264440820930560e-01,9.82220757551980794e-01,9.78127612291097570e-01,9.79020393542774148e-01,1.00505583596953807e+00,9.90853876675420131e-01
Flux_34, 1.03765233058668183e+00,1.04208042816072366e+00,1.04472682614365353e+00,1.04643423240102762e+00,1.04772820815485512e+00,1.04866543884623686e+00,1.05113311628292738e+00,1.04707944496313399e+00,1.04169418720058493e+00,1.04347462650265110e+00,1.04299518908781397e+00,1.03601969786241566e+00,1.03553005177561142e+00,1.03328944198127437e+00
Flux_35, 9.77718784041558098e-01,9.85509385441155294e-01,9.88570887067338977e-01,9.89270975030895006e-01,9.89362552805906792e-01,9.88834159560806225e-01,9.91076423423257968e-01,9.92288525560792278e-01,9.90375773445969720e-01,9.88749394960940275e-01,9.80503510402555234e-01,9.96079539409566950e-01,1.00984114480080533e+00,9.81368681194844106e-01
Flux_36, 8.97613048730311669e-01,9.02913368525531168e-01,9.06737347745422473e-01,9.08546341507085353e-01,9.09158140567799866e-01,9.09855727517197121e-01,9.08506245127890133e-01,9.05276326256576835e-01,9.02881009756788422e-01,9.01370845370809248e-01,9.05474956199819103e-01,9.01068568996402752e-01,8.94683826678566607e-01,9.03582244141417967e-01
