 vert 50
BeamAngleX_0, 1.00092055562838866e+00,9.98155519957814930e-01,1.00045531548804734e+00,9.98506806656736079e-01,9.99605863434356090e-01,1.00014941812120495e+00,1.00093320083275383e+00,1.00172331309612628e+00,1.00270421602489335e+00
BeamAngleX_1, 1.00039979787899580e+00,9.95986826030716865e-01,9.98303139814634921e-01,1.00150363665656172e+00,1.00092596996408867e+00,1.00042505301926199e+00,9.98991557310840883e-01,9.95000046404424077e-01,9.99747871866864313e-01
BeamAngleY_0, 1.00215665256053654e+00,9.97725648301997614e-01,1.00144398466804829e+00,9.97433028207211247e-01,9.99846371363168007e-01,1.00084756537992470e+00,1.00025399275768745e+00,1.00074837282139373e+00,1.00365893518544191e+00
BeamAngleY_1, 1.00025838534892442e+00,9.97233636909696242e-01,1.00092152891841879e+00,1.00147723915715314e+00,9.99661489238025336e-01,1.00027182140176918e+00,9.99376633858924279e-01,9.97804494643017126e-01,9.97876102683360244e-01
Flux_0, 1.06097030273204029e+00,1.06128136630976488e+00,1.06179678025965041e+00,1.05898269730083538e+00,1.06270482977080172e+00,1.07803828273943170e+00,1.09331477526256693e+00,1.12430363409339162e+00,1.13325321880884511e+00
Flux_1, 9.69847975836878984e-01,9.70214600028040164e-01,9.70013733633774300e-01,9.69808285352469657e-01,9.73960662220229589e-01,9.87707565180856006e-01,1.00100153935217828e+00,1.02493576166095712e+00,1.02223574592381894e+00
Flux_2, 9.95332363529003006e-01,9.95633592609278861e-01,9.95348512049466838e-01,9.95455762817710310e-01,9.99768525804519692e-01,1.01381450504986836e+00,1.02734440272660787e+00,1.05125403532222017e+00,1.04697721659559240e+00
Flux_3, 1.00567362255053627e+00,1.00595776326987263e+00,1.00592467905327343e+00,1.00539711640688956e+00,1.00960549510525355e+00,1.02377915007598741e+00,1.03745787315964799e+00,1.06287680929046524e+00,1.06131097048305922e+00
Flux_4, 1.15328979535298504e+00,1.15358973242579399e+00,1.15375095261310223e+00,1.15200302911441677e+00,1.15637148364446518e+00,1.17297540545844492e+00,1.18918930011651991e+00,1.22102726265562511e+00,1.22645606932934514e+00
Flux_5, 9.58066079781528912e-01,9.58311933320856291e-01,9.58377876809235585e-01,9.57525330549225506e-01,9.61496291082831966e-01,9.75301824413341012e-01,9.88700861206783466e-01,1.01442966070280649e+00,1.01659091220433040e+00
Flux_6, 1.00534001428853847e+00,1.00563856840057042e+00,1.00561577186138407e+00,1.00498609190373922e+00,1.00913007557790158e+00,1.02341168142495165e+00,1.03722058593986910e+00,1.06266072032015502e+00,1.06139555976044631e+00
Flux_7, 1.03528623975123724e+00,1.03575619257993301e+00,1.03581595125343373e+00,1.03439482763752566e+00,1.03842712785059632e+00,1.05326053605665582e+00,1.06781539709391837e+00,1.09529887400175041e+00,1.09725689457523279e+00
Flux_8, 8.92933806306879463e-01,8.93125427703692520e-01,8.93127776609230373e-01,8.92261840038162890e-01,8.95888306900841869e-01,9.08763645093663031e-01,9.21169843868700378e-01,9.44192192930820795e-01,9.45815829395879382e-01
Flux_9, 1.03262560934514847e+00,1.03296752682475135e+00,1.03321146203656933e+00,1.03188883360055139e+00,1.03597718962536334e+00,1.05071305959997074e+00,1.06513899915026444e+00,1.09288126813009612e+00,1.09570606917915070e+00
Flux_10, 9.15271808590189639e-01,9.15620040491165077e-01,9.15560099977500985e-01,9.15221276878783407e-01,9.19134612169621668e-01,9.32154493707105347e-01,9.44812086834886378e-01,9.68052150254588906e-01,9.66313238362712101e-01
Flux_11, 1.00111245975223606e+00,1.00159398754596118e+00,1.00154368826115125e+00,1.00089436163371737e+00,1.00501154309691665e+00,1.01921150360887514e+00,1.03305284622715665e+00,1.05797648195788918e+00,1.05608850045672531e+00
Flux_12, 8.53912103447965642e-01,8.54113769023111535e-01,8.54023558620543688e-01,8.53762282412010909e-01,8.57380237886268937e-01,8.69486804296111360e-01,8.81134316054521971e-01,9.02300348901812099e-01,9.00635841106066426e-01
