0.0237,0.0814,0.1729,0.2748,0.3319,0.3517,0.3251,0.1711,0.0043,0.0000,0.0000,0.0000,0.0000
0.0440,0.1652,0.3509,0.5487,0.6692,0.7067,0.6219,0.4785,0.2489,0.0165,0.0000,0.0000,0.0000
0.0713,0.2505,0.5237,0.8205,0.9951,1.0182,0.9055,0.6786,0.4230,0.2071,0.0141,0.0000,0.0000
0.0833,0.2961,0.6276,0.9663,1.1816,1.2174,1.0749,0.8104,0.5007,0.2769,0.0970,0.0005,0.0000
0.0878,0.3232,0.6743,1.0635,1.3020,1.3327,1.1873,0.8932,0.5679,0.3195,0.1436,0.0287,0.0000
0.0971,0.3519,0.7363,1.1326,1.4161,1.4583,1.3093,0.9981,0.6398,0.3714,0.1643,0.0534,0.0011
0.1035,0.3906,0.8188,1.2554,1.5424,1.5996,1.4455,1.1055,0.7090,0.4115,0.1785,0.0568,0.0031
0.1102,0.4093,0.8576,1.3137,1.6153,1.6927,1.5163,1.1434,0.7318,0.4177,0.1781,0.0522,0.0033
0.1093,0.3988,0.8429,1.2987,1.5978,1.6456,1.4759,1.1079,0.7002,0.3928,0.1580,0.0437,0.0027
0.0897,0.3287,0.6892,1.0795,1.2905,1.3311,1.1934,0.8764,0.5375,0.2897,0.1134,0.0285,0.0019
0.0482,0.1831,0.3854,0.5919,0.7206,0.7388,0.6486,0.4696,0.2782,0.1476,0.0556,0.0139,0.0009
0.0213,0.0785,0.1676,0.2564,0.3037,0.3171,0.2816,0.1988,0.1182,0.0625,0.0236,0.0064,0.0005
0.0088,0.0313,0.0668,0.1014,0.1246,0.1269,0.1103,0.0821,0.0494,0.0264,0.0105,0.0032,0.0003
0.0020,0.0075,0.0157,0.0243,0.0299,0.0305,0.0279,0.0208,0.0136,0.0078,0.0035,0.0012,0.0002
