 vert 50
Flux_49, 0.8660,0.8661,0.8661,0.8655,0.8692,0.8815,0.8933,0.9154,0.9153
Flux_50, 1.1319,1.1321,1.1320,1.1310,1.1355,1.1517,1.1675,1.1967,1.1985
Flux_51, 1.0119,1.0122,1.0121,1.0116,1.0159,1.0302,1.0441,1.0697,1.0682
Flux_52, 1.0433,1.0435,1.0435,1.0427,1.0468,1.0617,1.0760,1.1032,1.1042
Flux_53, 0.9417,0.9420,0.9420,0.9409,0.9446,0.9580,0.9711,0.9958,0.9975
Flux_54, 1.0687,1.0691,1.0690,1.0683,1.0727,1.0879,1.1027,1.1298,1.1287
Flux_55, 0.8606,0.8608,0.8606,0.8610,0.8649,0.8770,0.8885,0.9087,0.9033
Flux_56, 1.0317,1.0320,1.0322,1.0304,1.0343,1.0490,1.0636,1.0912,1.0948
Flux_57, 0.9303,0.9307,0.9308,0.9293,0.9328,0.9462,0.9593,0.9844,0.9881
Flux_58, 1.0271,1.0273,1.0276,1.0256,1.0295,1.0443,1.0589,1.0874,1.0941
Flux_59, 1.0153,1.0156,1.0157,1.0143,1.0182,1.0328,1.0470,1.0738,1.0770
Flux_60, 1.0773,1.0776,1.0778,1.0756,1.0796,1.0952,1.1105,1.1405,1.1475
Flux_61, 1.0692,1.0694,1.0693,1.0684,1.0726,1.0877,1.1023,1.1291,1.1286
Flux_62, 1.0257,1.0259,1.0261,1.0245,1.0284,1.0432,1.0575,1.0849,1.0888
Flux_63, 0.9263,0.9266,0.9267,0.9252,0.9287,0.9421,0.9550,0.9797,0.9836
Flux_64, 1.0420,1.0423,1.0426,1.0407,1.0446,1.0594,1.0741,1.1025,1.1065
Flux_65, 1.0145,1.0149,1.0150,1.0132,1.0170,1.0316,1.0460,1.0737,1.0785
Flux_66, 1.0317,1.0319,1.0317,1.0318,1.0363,1.0510,1.0651,1.0905,1.0876
Flux_67, 0.9147,0.9149,0.9151,0.9137,0.9173,0.9305,0.9433,0.9681,0.9727
Flux_68, 1.0825,1.0829,1.0828,1.0821,1.0865,1.1018,1.1168,1.1450,1.1445
Flux_69, 0.9769,0.9772,0.9773,0.9763,0.9802,0.9941,1.0077,1.0333,1.0349
Flux_70, 1.1662,1.1665,1.1667,1.1649,1.1693,1.1862,1.2027,1.2346,1.2409
Flux_71, 0.9612,0.9615,0.9613,0.9609,0.9649,0.9784,0.9914,1.0148,1.0123
Flux_72, 0.9176,0.9180,0.9179,0.9175,0.9214,0.9345,0.9472,0.9709,0.9701
Flux_73, 0.9173,0.9176,0.9176,0.9172,0.9211,0.9341,0.9466,0.9693,0.9678
Flux_74, 0.9119,0.9122,0.9119,0.9119,0.9157,0.9285,0.9407,0.9620,0.9574
Flux_75, 0.9650,0.9654,0.9654,0.9643,0.9682,0.9820,0.9954,1.0206,1.0225
Flux_76, 0.9876,0.9879,0.9881,0.9862,0.9899,1.0040,1.0178,1.0445,1.0491
Flux_77, 1.0187,1.0189,1.0185,1.0187,1.0231,1.0374,1.0512,1.0751,1.0695
Flux_78, 0.9925,0.9928,0.9927,0.9919,0.9959,1.0100,1.0237,1.0493,1.0501
