0.0012,0.0039,0.0084,0.0125,0.0142,0.0146,0.0145,0.0112,0.0060,0.0028,0.0007,0.0001,0.0000
0.0039,0.0148,0.0307,0.0455,0.0512,0.0527,0.0524,0.0401,0.0215,0.0100,0.0024,0.0001,0.0000
0.0084,0.0307,0.0704,0.1012,0.1140,0.1193,0.1195,0.0929,0.0524,0.0255,0.0070,0.0008,0.0001
0.0125,0.0455,0.1012,0.1719,0.1930,0.2012,0.2017,0.1592,0.0889,0.0446,0.0134,0.0019,0.0002
0.0142,0.0512,0.1140,0.1930,0.2310,0.2430,0.2451,0.2036,0.1231,0.0673,0.0240,0.0050,0.0003
0.0146,0.0527,0.1193,0.2012,0.2430,0.2701,0.2745,0.2330,0.1512,0.0876,0.0345,0.0078,0.0004
0.0145,0.0524,0.1195,0.2017,0.2451,0.2745,0.2848,0.2449,0.1616,0.0949,0.0383,0.0090,0.0005
0.0112,0.0401,0.0929,0.1592,0.2036,0.2330,0.2449,0.2311,0.1602,0.0985,0.0433,0.0115,0.0006
0.0060,0.0215,0.0524,0.0889,0.1231,0.1512,0.1616,0.1602,0.1283,0.0838,0.0396,0.0111,0.0005
0.0028,0.0100,0.0255,0.0446,0.0673,0.0876,0.0949,0.0985,0.0838,0.0594,0.0294,0.0083,0.0004
0.0007,0.0024,0.0070,0.0134,0.0240,0.0345,0.0383,0.0433,0.0396,0.0294,0.0165,0.0047,0.0002
0.0001,0.0001,0.0008,0.0019,0.0050,0.0078,0.0090,0.0115,0.0111,0.0083,0.0047,0.0015,0.0001
0.0000,0.0000,0.0001,0.0002,0.0003,0.0004,0.0005,0.0006,0.0005,0.0004,0.0002,0.0001,0.0000
