0.0206,0.0671,0.1321,0.1965,0.2337,0.2603,0.2696,0.1628,0.0044,0.0000,0.0000,0.0000,0.0000
0.0380,0.1339,0.2602,0.3853,0.4634,0.5084,0.5054,0.4562,0.2631,0.0180,0.0000,0.0000,0.0000
0.0607,0.1993,0.3829,0.5678,0.6737,0.7274,0.7208,0.6411,0.4475,0.2270,0.0154,0.0000,0.0000
0.0706,0.2334,0.4597,0.6670,0.7999,0.8636,0.8576,0.7582,0.5279,0.3031,0.1047,0.0006,0.0000
0.0740,0.2556,0.4912,0.7300,0.8856,0.9440,0.9368,0.8326,0.5969,0.3489,0.1549,0.0300,0.0000
0.0827,0.2770,0.5396,0.7809,0.9595,1.0292,1.0381,0.9285,0.6712,0.4056,0.1779,0.0561,0.0012
0.0870,0.3078,0.5946,0.8656,1.0478,1.1307,1.1391,1.0243,0.7427,0.4493,0.1939,0.0600,0.0032
0.0935,0.3213,0.6212,0.9076,1.0941,1.1926,1.1913,1.0576,0.7660,0.4569,0.1942,0.0552,0.0034
0.0920,0.3126,0.6105,0.8918,1.0670,1.1543,1.1545,1.0239,0.7324,0.4301,0.1729,0.0465,0.0028
0.0747,0.2562,0.4937,0.7317,0.8666,0.9271,0.9221,0.8063,0.5623,0.3175,0.1246,0.0304,0.0019
0.0406,0.1418,0.2740,0.4025,0.4773,0.5082,0.5016,0.4295,0.2908,0.1617,0.0612,0.0149,0.0010
0.0177,0.0604,0.1188,0.1727,0.2024,0.2202,0.2160,0.1825,0.1235,0.0685,0.0260,0.0068,0.0006
0.0074,0.0239,0.0472,0.0686,0.0828,0.0874,0.0864,0.0753,0.0515,0.0289,0.0115,0.0034,0.0003
0.0017,0.0058,0.0113,0.0167,0.0199,0.0213,0.0213,0.0191,0.0141,0.0085,0.0038,0.0013,0.0002
