0.0228,0.0819,0.1640,0.2389,0.2952,0.3323,0.3423,0.2086,0.0058,0.0000,0.0000,0.0000,0.0000
0.0432,0.1527,0.3078,0.4556,0.5470,0.6044,0.6221,0.5705,0.3304,0.0232,0.0000,0.0000,0.0000
0.0633,0.2268,0.4495,0.6565,0.7769,0.8458,0.8626,0.7780,0.5689,0.3112,0.0224,0.0000,0.0000
0.0760,0.2680,0.5389,0.7792,0.9269,1.0030,1.0088,0.9114,0.6748,0.4188,0.1619,0.0008,0.0000
0.0840,0.2962,0.5837,0.8493,1.0112,1.0942,1.1099,1.0095,0.7596,0.4848,0.2392,0.0505,0.0000
0.0902,0.3161,0.6309,0.9254,1.1028,1.2054,1.2237,1.1310,0.8560,0.5493,0.2659,0.0905,0.0019
0.0963,0.3433,0.6905,0.9927,1.2029,1.3057,1.3280,1.2215,0.9284,0.5884,0.2767,0.0910,0.0053
0.1010,0.3583,0.7196,1.0518,1.2477,1.3553,1.3799,1.2528,0.9445,0.5929,0.2695,0.0830,0.0057
0.0996,0.3516,0.7029,1.0217,1.2143,1.3151,1.3215,1.1987,0.8873,0.5414,0.2339,0.0680,0.0048
0.0795,0.2857,0.5690,0.8179,0.9666,1.0364,1.0392,0.9227,0.6680,0.3958,0.1640,0.0446,0.0031
0.0442,0.1588,0.3133,0.4511,0.5265,0.5590,0.5512,0.4830,0.3416,0.1980,0.0789,0.0209,0.0018
0.0188,0.0667,0.1356,0.1902,0.2247,0.2360,0.2328,0.2029,0.1439,0.0827,0.0338,0.0096,0.0011
0.0077,0.0280,0.0536,0.0776,0.0906,0.0969,0.0965,0.0833,0.0592,0.0372,0.0162,0.0052,0.0008
0.0019,0.0065,0.0131,0.0191,0.0224,0.0245,0.0246,0.0226,0.0173,0.0111,0.0056,0.0023,0.0004
