 vert 45
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_0,2.38854266649003133e+00,3.23672841855342286e+00,8.55737782522913548e+00,1.02437657566686884e+01,1.16162284996754295e+01,5.17014190344782634e+01,5.54357902740791744e+01,5.48176378221240128e+01,9.89302040131238272e+01,7.79259590208498594e+01,1.09956197621682804e+02,6.88426040519649405e+01,4.53218822039487108e+01,2.97520855957363501e+01,4.92368965737583650e+01,1.55309927537093628e+01,7.37967186702617073e-01,7.06079930795153327e-02,9.07030082862069625e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_1,2.37615143625745517e+00,3.22014456752848277e+00,8.51486217652927557e+00,1.01942716147217372e+01,1.15577388625485931e+01,5.14488929807522908e+01,5.51662273035976654e+01,5.45556108852783836e+01,9.84864289772319808e+01,7.75326976624047575e+01,1.09413909563835020e+02,6.85646137791248407e+01,4.51472789926883991e+01,2.96738923435340460e+01,4.90805266717389017e+01,1.53917644099428159e+01,7.15021986056757042e-01,6.87466813498389256e-02,8.80626930443991623e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_2,2.38059311003825780e+00,3.22315664129607260e+00,8.52365493980172495e+00,1.02034263106601824e+01,1.15738270857066734e+01,5.15208371030960564e+01,5.52392433116392851e+01,5.46356772239723796e+01,9.86193458910187246e+01,7.76712170509262450e+01,1.09577937294708420e+02,6.86110947381517775e+01,4.51527682606407836e+01,2.96361854514895597e+01,4.90392334955208682e+01,1.54489200409663461e+01,7.18762881946343746e-01,6.85654156066857479e-02,8.55285209320942770e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_3,2.36613783219223128e+00,3.20268532809085960e+00,8.46459084006395912e+00,1.01352715328203580e+01,1.14877809066706931e+01,5.11395143112316504e+01,5.48291870703953350e+01,5.42284351865594374e+01,9.79290022580832442e+01,7.70175117815449966e+01,1.08642415763975592e+02,6.81242774601000463e+01,4.48971184171675048e+01,2.95758625523112464e+01,4.91657332054673901e+01,1.54866613672013180e+01,6.99921265088673583e-01,6.71515424519906340e-02,8.68396186195940362e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_4,2.35909755117526521e+00,3.19751072898349209e+00,8.45033416190813824e+00,1.01097280705289432e+01,1.14641903128896292e+01,5.10375805873506607e+01,5.47221003865397648e+01,5.41142632886055353e+01,9.76453317714739342e+01,7.70032330839981540e+01,1.08662018979879861e+02,6.80192619475284204e+01,4.47407575642139932e+01,2.92938402173007084e+01,4.83836329528548674e+01,1.53425782978823282e+01,7.38532152231458183e-01,6.94185699393444489e-02,8.78323940327117685e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_5,2.35926402169184701e+00,3.19230086170794847e+00,8.44180220552535587e+00,1.01088968000067521e+01,1.14628453253102016e+01,5.10300023011397670e+01,5.47228723042288721e+01,5.41313739490323371e+01,9.77398777148556235e+01,7.69281357935200845e+01,1.08562146458534158e+02,6.80683958355498930e+01,4.48189376212908002e+01,2.94822954300904705e+01,4.87077865509584100e+01,1.51591481230660303e+01,6.97248615063315036e-01,6.83795872024983292e-02,8.59691196185387134e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_6,2.37568926887819387e+00,3.21357055813151415e+00,8.49734105313361354e+00,1.01799615527906102e+01,1.15402516511073010e+01,5.13663681911390597e+01,5.50776659886221438e+01,5.44876826931813980e+01,9.84290211133571518e+01,7.72600560043206883e+01,1.08980197557803166e+02,6.84143675753801688e+01,4.51766464174516855e+01,2.98899660669854086e+01,4.98278390973820393e+01,1.54821879301749004e+01,6.65733571521603174e-01,6.56154051130666410e-02,8.41217010372741214e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_7,2.33965443285689556e+00,3.16565116478946207e+00,8.36368100973985129e+00,1.00180958190755831e+01,1.13512057612238912e+01,5.05371057533959629e+01,5.41964747529656279e+01,5.36196660412611266e+01,9.69087481477409938e+01,7.60963711804622278e+01,1.07312097514086375e+02,6.73736949130787508e+01,4.44190015420805224e+01,2.93471610010635224e+01,4.89064241265869057e+01,1.52607126536730355e+01,6.55586049042471752e-01,6.27476166172574318e-02,8.00057401553727100e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_8,2.36548352733597422e+00,3.20430999894575308e+00,8.46897515362392284e+00,1.01393017796664164e+01,1.14969471877996359e+01,5.11861229882448185e+01,5.48708313843861077e+01,5.42836931660766737e+01,9.80434338120008135e+01,7.71149488720515421e+01,1.08744331187500549e+02,6.81404785517665772e+01,4.48715943395772854e+01,2.95325404464874239e+01,4.91637439728912682e+01,1.55130459058743781e+01,6.95856045544364532e-01,6.64829172555428255e-02,8.48724112744605498e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_9,2.35566110878029233e+00,3.19002487873683416e+00,8.42556436635883088e+00,1.00871698625508461e+01,1.14335314829946810e+01,5.09011828583495571e+01,5.45714769557777828e+01,5.39798558414911014e+01,9.75199268749045984e+01,7.66563319325366592e+01,1.08128216710991396e+02,6.78488857388711608e+01,4.47096737186634101e+01,2.94497892754310016e+01,4.90054787532411069e+01,1.55007279111297542e+01,6.91798937681019965e-01,6.45395570536372032e-02,8.22721484076923727e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_10,2.41159155179267026e+00,3.26522856683829321e+00,8.64266823466775413e+00,1.03475350269431257e+01,1.17369921570395785e+01,5.22531565072320348e+01,5.59999963716463469e+01,5.53903486973192258e+01,9.99739944320498637e+01,7.86672817415259260e+01,1.10951035338681550e+02,6.94789736591919791e+01,4.57745834766599913e+01,3.00993987992981253e+01,5.00008378815554906e+01,1.58145845098861830e+01,7.17151694227257108e-01,6.85885509034482727e-02,8.57443923711800025e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_11,2.39531939367743840e+00,3.24259440567090262e+00,8.56905858841638590e+00,1.02598015385265828e+01,1.16345560558260139e+01,5.17877780327503814e+01,5.55202840991785109e+01,5.49167338047475653e+01,9.92009824480672506e+01,7.79451516440570913e+01,1.09917371965334027e+02,6.89227438113126851e+01,4.54231732997085516e+01,2.99150204336766627e+01,4.98294447142583508e+01,1.58282629916455964e+01,7.04792509510991372e-01,6.47527037985045351e-02,7.96519214199336960e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Flux_12,2.35535093208159507e+00,3.18579553828767681e+00,8.42341570764091863e+00,1.00891399335028300e+01,1.14375910432536081e+01,5.09182211966725191e+01,5.45965430326011614e+01,5.40093445903132547e+01,9.75537039598240199e+01,7.66487819698396891e+01,1.08141483755926089e+02,6.78771988907424628e+01,4.47726602582254287e+01,2.95637885421428663e+01,4.91704796715717052e+01,1.53124112516900812e+01,6.69103091345946477e-01,6.56657364363544549e-02,8.38024926493225603e-03
