 Lat 12
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Bethe_Bloch_0,3.65416405034969046e+02,4.95363749296632307e+02,6.59864748421553827e+02,7.91400702932726858e+02,8.98404831474749130e+02,1.00046981073374729e+03,1.07148065182244181e+03,1.06017643097937867e+03,9.58302608773878887e+02,7.65313587925391516e+02,5.44192357397514002e+02,3.25401463959621765e+02,2.12791408397566215e+02,1.39904244698424890e+02,5.73387446371233409e+01,6.95498176720872330e+00,3.14498646862969966e-01,3.41022518531121643e-02,4.87789902145218356e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Bethe_Bloch_1,3.60413806828925772e+02,4.88971506589823719e+02,6.52063694629680072e+02,7.82552821216440179e+02,8.88701414100051011e+02,9.90532282188182194e+02,1.06052508497141639e+03,1.04974999182327633e+03,9.49142786438101439e+02,7.39153051250492467e+02,5.18291323548447167e+02,3.32077512198510078e+02,2.19793665688282459e+02,1.43999862126169660e+02,5.91227116659195673e+01,7.28365464379961480e+00,3.35403593234487651e-01,3.63498879664562527e-02,4.98158036741796258e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Birks_Response_Proton_0,3.61361220664164648e+02,4.90390520510928297e+02,6.53577121046607772e+02,7.84725886535766449e+02,8.91415250234891460e+02,9.92548565860638632e+02,1.06296772991878061e+03,1.05294688318445651e+03,9.51522845739266472e+02,7.43043828399530298e+02,5.21805338589363828e+02,3.31504554008165428e+02,2.19040929636401444e+02,1.43521520377894092e+02,5.89160390292466332e+01,7.24332044532373853e+00,3.32036277435019123e-01,3.60810799667627691e-02,4.98585403277671414e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Birks_Response_Proton_1,3.61361220664164648e+02,4.90390520510928297e+02,6.53577121046607772e+02,7.84725886535766449e+02,8.91415250234891460e+02,9.92548565860638632e+02,1.06296772991878061e+03,1.05294688318445651e+03,9.51522845739266472e+02,7.43043828399530298e+02,5.21805338589363828e+02,3.31504554008165428e+02,2.19040929636401444e+02,1.43521520377894092e+02,5.89160390292466332e+01,7.24332044532373853e+00,3.32036277435019123e-01,3.60810799667627691e-02,4.98585403277671414e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_0,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_1,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_2,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_3,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_4,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
h_q2_ptmu_data_nobck_unfold_effcor_cross_section_px Crosstalk_5,3.40803250474261745e+02,4.62923058639141232e+02,6.11644080059940734e+02,7.39313899783006150e+02,8.39687461614322388e+02,9.37613111022569683e+02,9.93129535579568255e+02,9.79047809368336402e+02,9.03464682474455799e+02,5.68002384791881241e+02,3.50518746207170636e+02,3.94163509413762313e+02,2.89735526313890944e+02,1.85737748805260850e+02,7.63100819768958303e+01,9.80630019060207836e+00,4.57270775333284751e-01,4.72579102202784346e-02,8.25517733020249278e-03
