Index,Type,Name,Data CCQE,MC CCQE,MC Truth
126,Double_t,part_response_recoil_xtalk_od_err,1,1,0
127,Double_t,phys_energy_dispersed,1,1,0
128,Double_t,phys_energy_in_road_downstream,1,1,0
129,Double_t,phys_energy_in_road_upstream,1,1,0
130,Double_t,phys_energy_unattached,1,1,0
131,Double_t,prim_vtx_smallest_opening_angle,1,1,0
132,Double_t,proton_track_endx,1,1,0
133,Double_t,proton_track_endy,1,1,0
134,Double_t,proton_track_endz,1,1,0
135,Double_t,proton_track_length,1,1,0
136,Double_t,qsquared_recoil,1,1,0
137,Double_t,recoilE_SplineCorrected,1,1,0
138,Double_t,recoil_energy_nonmuon_nonvtx0mm,1,1,0
139,Double_t,recoil_energy_nonmuon_nonvtx100mm,1,1,0
140,Double_t,recoil_energy_nonmuon_nonvtx150mm,1,1,0
141,Double_t,recoil_energy_nonmuon_nonvtx200mm,1,1,0
142,Double_t,recoil_energy_nonmuon_nonvtx250mm,1,1,0
143,Double_t,recoil_energy_nonmuon_nonvtx300mm,1,1,0
144,Double_t,recoil_energy_nonmuon_nonvtx50mm,1,1,0
145,Double_t,recoil_energy_nonmuon_vtx0mm,1,1,0
146,Double_t,recoil_energy_nonmuon_vtx100mm,1,1,0
147,Double_t,recoil_energy_nonmuon_vtx150mm,1,1,0
148,Double_t,recoil_energy_nonmuon_vtx200mm,1,1,0
149,Double_t,recoil_energy_nonmuon_vtx250mm,1,1,0
150,Double_t,recoil_energy_nonmuon_vtx300mm,1,1,0
151,Double_t,recoil_energy_nonmuon_vtx50mm,1,1,0
152,Double_t,vtx_blobs_energy,1,1,0
153,Double_t,vtx_iso_blobs_energy_outside_radius,1,1,0
154,Int_t,FittedMichel_Uclus_clusterindex_sz,1,1,0
155,Int_t,FittedMichel_Uclus_clusterindex,1,1,0
156,Int_t,FittedMichel_Uclus_michelmatchindex_sz,1,1,0
157,Int_t,FittedMichel_Uclus_michelmatchindex,1,1,0
158,Int_t,FittedMichel_Vclus_clusterindex_sz,1,1,0
159,Int_t,FittedMichel_Vclus_clusterindex,1,1,0
160,Int_t,FittedMichel_Vclus_michelmatchindex_sz,1,1,0
161,Int_t,FittedMichel_Vclus_michelmatchindex,1,1,0
162,Int_t,FittedMichel_Xclus_clusterindex_sz,1,1,0
163,Int_t,FittedMichel_Xclus_clusterindex,1,1,0
164,Int_t,FittedMichel_Xclus_michelmatchindex_sz,1,1,0
165,Int_t,FittedMichel_Xclus_michelmatchindex,1,1,0
166,Int_t,FittedMichel_all_micheltrajectory_ParentID_sz,1,1,0
167,Int_t,FittedMichel_all_micheltrajectory_ParentID,1,1,0
168,Int_t,FittedMichel_all_micheltrajectory_ParentPDG_sz,1,1,0
169,Int_t,FittedMichel_all_micheltrajectory_ParentPDG,1,1,0
170,Int_t,FittedMichel_all_micheltrajectory_pdg_sz,1,1,0
171,Int_t,FittedMichel_all_micheltrajectory_pdg,1,1,0
172,Int_t,FittedMichel_all_micheltrajectory_trackID_sz,1,1,0
173,Int_t,FittedMichel_all_micheltrajectory_trackID,1,1,0
174,Int_t,FittedMichel_all_muontrajectory_ParentID_sz,1,1,0
175,Int_t,FittedMichel_all_muontrajectory_ParentID,1,1,0
176,Int_t,FittedMichel_all_muontrajectory_ParentPDG_sz,1,1,0
